v_earliestEraOrLowestErathem,reps
Mesozoico,12800
Mesozoico-Cenozoico,1
CARBONFIEROUS,1
ORDIVICIAN,1
paleozoic,1
"Ordovician, Upper",1
Neonene,1
Oligocene(early)-Miocene(middle),1
Permian ?,1
PreCambrian,1
Quarternary,1
Quatenary,1
Permi,1
Paleoarchean,1
Late Jurassic,1
ORDVICIAN,1
Placeholder,1
PALEOCENE,1
Mioceno; Plioceno; Cuaternario; Reciente,1
Juraasic,1
mesozoic,1
Neógeno,1
Permian?,1
?Cretaceous,1
Tertiary?,1
CRETACEOUS-TERTIARY,1
?Neogene,1
Tertiary? Cretaceous?,1
BAJOCIAN,2
? Carboniferous,2
MESOZOIC-CENOZOIC,2
Tertialy,2
Oligoceno Superior; Mioceno Inferior,2
Siluric,2
Mesozoic?,2
CRETACEOUS/TERTIARY,2
Alluvium,3
CONIACIAN,3
Carboniferous?,3
CARBONIFEROUS?,3
CEONZOIC,3
Devinian,3
?,3
Early Cretaceous,3
CAMBRIAN,4
Neogene ?,4
QUATERNARY,4
Carbonic,4
KIMMERIDGIAN + JURASSIC,4
Fanerozoico,4
CALLOVIAN,4
Devonic,4
Archaean,4
Cretaceous?,5
Mesoproterozoic,5
Neogene?,5
Paleocene,5
Carboniferous (Pennsylvanian),5
OXFORDIAN,6
KIMMERIDGIAN,7
Carboniferous to Permian,7
unknown,7
Quaternaire,7
Silirian,8
Early Permian,8
Palaeogene,9
Jurassic ?,11
CRETACEOUS + JURASSIC,12
Mesozoïque,4108
Ceonzoic,14
Pleistocene,14
BATHONIAN + CALLOVIAN,14
Jurassic / Cretaceous,16
CARBONIFEROUS,784
Paleogene,3088
MESOZOIC-TERTIARY,17
Carboniferous ?,17
Mesozoica,17
Silurian,786
Middle Devonian,19
Paleoproterozoic,19
MISSISSIPPIAN,275
Oligocene,22
Cenozoic,1869846
Pennsylvanian,23
NEOGENE,535
Early Devonian,24
Devonian,1048
Pliocene,26
Jurassic to Cretaceous?,27
Paleogene-Neogene,35
Proterozoic,36
SILURIAN,36
Neogene/Quaternary,36
Julassic to Cretaceous,39
JURASSIC,41
Mississippian,45
PERMIAN,558
"Paleozoic,Precambrian",49
Eocene,52
Cenozoica,62
Mezosoica,62
Miocene,62
Triassic?,63
Precambrian,578
TERTIARY,67
Cenozoïque,1091
Recent,324
NOT APPLICABLE,74
Mésozoïque,5968
Cretaceous ?,84
Late Jurassic to Early Cretaceous,90
Carboniferous-Permian,91
Middle Permian,107
Neogene-Quaternary,107
Cambrian,364
ORDOVICIAN,878
"""Mesozoic""",628
Néoprotérozoïque,120
,2156047489
Paleozoico,6019
RECENT,132
Neogene,17801
PALEOGENE,399
Paleozoic,639891
DEVONIAN,155
MIOCENE,155
PLIOCENE,156
Neoproterozoic,157
Mesozoic,317599
CENOZOIC,65955
CRETACEOUS,936
Cenozoico,14506
Cretaceous,15019
Reciente,7856
PALEOZOIC,8627
PLEISTOCENE,180
Ordovician,451
Paleozoïque,196
Jurassic,3524
Cénozoïque,17860
Tertiary,197
Paléozoïque,30405
Triassic,1996
EOCENE,210
MESOZOIC,4318
Paleozoica,995
Permian,2542
Quaternary,12272
PENNSYLVANIAN,241
Carboniferous,764
