countrycode,reps
,11410608
US,3994686
AU,1224505
MX,545459
PE,162261
PG,152614
CA,146996
BR,137495
CR,106731
CO,100363
EC,87843
ID,87095
VE,82500
AR,82271
IN,79003
KE,74794
NO,74431
BO,70597
PH,64402
GB,58751
MG,57659
CD,56919
FR,55952
USA,53699
PA,52894
ZA,51841
SE,50669
GT,48166
ES,44237
CN,43947
BE,39715
CM,37406
UG,36041
MY,34591
PY,33407
HN,32572
RU,28105
GY,27781
TZ,25718
NC,24886
CL,24566
DE,22057
CH,21410
GF,21180
CU,20076
SB,19682
JP,19548
NA,18295
AO,17598
DO,17182
ET,16576
IT,16043
NI,15878
VU,15840
AQ,15769
SV,15099
PF,14628
TH,13902
BS,13631
TT,12999
NZ,12872
NG,11883
PK,11840
BZ,11833
PR,11827
NL,11789
FJ,11414
JM,11350
VN,11235
IL,11147
BHS,10952
EG,10752
ZM,9910
SR,9666
ZW,9638
CI,9184
MA,9151
SC,9143
TW,9122
GA,8768
GN,8687
SN,8438
MH,8363
LA,8183
CG,8170
BW,8138
DZ,7862
BRA,7743
GH,7326
CF,7011
MW,6816
MN,6665
IR,6275
MM,6238
MZ,6212
SD,6088
PT,5937
LK,5848
LR,5778
TN,5612
DK,5306
IS,5150
GR,4912
TF,4850
PER,4806
GL,4598
NP,4473
HT,4441
FI,4304
CZ,3818
KI,3816
UA,3577
TD,3570
HU,3472
MU,3466
COL,3364
AF,3337
SL,3285
BD,3272
KR,3256
FM,3220
RW,3207
AT,3127
HR,3012
TR,2993
AS,2993
RO,2950
GUY,2934
THA,2887
KH,2829
VC,2780
WS,2776
SG,2773
GU,2680
UY,2678
ML,2629
FK,2579
SA,2560
PW,2555
RE,2532
MEX,2492
MP,2482
BB,2447
VI,2423
SO,2349
AUS,2324
UM,2313
?,2296
ST,2226
BJ,2199
PL,2188
MR,2186
OM,2111
TO,2064
KW,2035
NE,2034
DM,1942
GQ,1821
PAN,1804
BI,1748
LY,1733
BF,1714
KY,1655
BMU,1638
MQ,1617
LC,1569
NF,1567
CK,1560
GP,1552
BM,1411
ER,1375
IE,1353
PHL,1325
PN,1288
SY,1286
HTI,1238
GS,1233
PS,1232
ZAF,1230
GM,1193
KZ,1172
KM,1160
CY,1144
IND,1096
CV,1064
GD,1047
CHN,1026
VG,982
AG,970
BN,969
TG,957
AI,950
??,908
UZ,848
YE,829
CRI,825
ECU,824
PRY,820
KG,785
TC,780
IQ,768
IDN,760
ME,744
MV,743
CX,722
CYM,713
SZ,698
CW,690
SK,683
BQ,675
LKA,659
WF,634
LB,634
DJ,619
SJ,562
BT,560
FO,560
SUR,553
BH,547
CC,545
SH,544
JPN,500
BA,473
AD,472
AM,471
AE,456
CAN,448
EE,447
ITA,447
JO,443
GE,430
NZL,426
MS,410
TM,408
MT,405
TL,397
LS,384
BG,377
LU,370
TJ,357
HK,353
RS,333
AW,331
KN,325
MTQ,323
MNG,321
SI,313
GRD,308
MK,305
FJI,277
JAM,275
SLB,270
DOM,269
MD,269
GW,266
CUB,265
MOZ,250
YT,237
AIA,233
MDG,231
AZ,223
WSM,219
HND,216
KP,200
ARG,186
SX,181
CHL,173
DMA,166
LBN,160
AL,156
LT,155
KEN,152
EH,146
NIC,142
BRB,132
URY,128
GUF,127
PAK,125
GTM,124
GUM,112
UGA,111
LV,108
ASM,107
BL,106
TV,100
HM,99
SOM,99
SGP,93
ROU,84
COK,84
AGO,82
SS,81
QA,81
NR,80
ZMB,75
ISR,75
IO,75
CMR,74
TON,74
MHL,68
BY,66
SYC,66
BWA,54
IRL,54
BHR,52
MUS,52
MYS,50
GI,47
BV,47
YU,47
COM,45
PM,41
HO,41
NPL,41
FRA,40
SLE,39
LBR,37
GAB,36
NU,36
AUT,34
NGA,32
MWI,31
SWE,31
COG,27
ETH,27
TUN,26
SLV,26
CHE,25
LI,25
IM,24
AN,24
DEU,22
FIN,21
GRL,21
SDN,20
TUR,20
ZR,20
EGY,19
NFK,18
BLZ,18
GIN,18
TK,17
PNG,17
ATA,17
OMN,16
GBR,15
GHA,14
PI,14
NCL,13
NOR,13
SEN,13
JE,9
TTO,9
AA,9
ESP,9
KWT,8
SAU,7
GRC,7
DZA,6
HKG,6
MC,5
HUN,5
MLI,5
GLP,4
PRT,3
TCD,3
IRQ,3
NLD,3
QAT,2
MSR,2
MAR,2
SU,2
CXR,2
MDV,1
HRV,1
MO,1
MMR,1
MF,1
Us,1
PYF,1
CYP,1
STP,1
NAM,1
XK,1
SM,1
GNQ,1
KHM,1
SVN,1
BGD,1
POL,1
BGR,1
